timestamp [ns],name
1148441723,Shift
1987741723,E
2400141723,y
2529741723,e
3156341723,Shift
3881741723,T
4096941723,r
4501141723,a
5021641723,c
5502041723,k
5709041723,i
5841641723,n
6252941723,g
7431541723,2
7618941723,0
7676341723,2
8134741723,5
11065141723,a
12081341723,Shift
12539241723,P
16146341723,$
17764441723,n
18116441723,Shift
18594641723,F
19246241723,-
19788241723,k
19953241723,c
20909041723,0
21359241723,Shift
21557741723,!
22845841723,v
23177841723,Shift
23523041723,L
25064141723,r
25541341723,Shift
26649241723,%
28016941723,Shift
28105741723,?
