timestamp [ns],name
3951979743,Shift
4191879743,E
4676579743,y
4772679743,e
4945279743,Shift
5079079743,T
5287579743,r
5431179743,a
6076079743,c
6232179743,k
6392279743,i
6465979743,n
6590879743,g
6885179743,2
7173279743,0
7276979743,2
7560979743,5
7772279743,Tab
10448079743,a
10690079743,Shift
12135679743,a
12475279743,Shift
12720279743,P
14227379743,Shift
15536879743,$
16829779743,n
17071579743,Shift
17206179743,F
17731679743,-
19187279743,k
19348279743,c
19766879743,0
21245679743,Shift
21592879743,!
22001079743,v
22249179743,Shift
22440079743,L
24380979743,r
26046279743,Shift
26699179743,%
27226879743,Shift
27426779743,?
